data,timestamp (ms),timestamp (formatted)
"1628697686.922841,1,1628697683.984592,55.82837131954811,-4.280173153570269,24.38784,-1,-1,10,65,-9999,1628697686.912947,0.2862052917480469,-16.37687683105469,-48.79618835449219,136.1688842773438,137.9230346679688,12.03660202026367,196954.54964425,0.002471923828125,-0.039764404296875,-0.99444580078125,196954.30088025,0.004030694253742695,0.006169212516397238,-0.003179814200848341,196954.54872325,63.9471435546875,-76.91920471191406,-113.54736328125,196954.1840347917,-0.09903983033377838,0.003046328225675893,0.04085632813341545,-0.0004305073525756598,-0.0003586453385651112,0.0006849386263638735,0.0009540235623717308,-0.0007657669484615326,0.005935788154602051,2,0.02047705969194455,0.0005098628641363326,-0.04945821823557628,0.9985661275372788,0.003043781267479062,-0.04084496200084686,-0.9991608858108521,0.1204032897949219,-16.03002166748047,-48.35003662109375,-1,2,196661.07914325,2,2,1628697393.451568,0,0,0,0,0,0,0,0,0,196951.157301,0,0.6658669,100.7179,0,0,0,0,0,5,1628697686.856069,1,0.78,1628697686.618657,-33.2",1628697686.990916,Wed Aug 11 16:01:26 2021
"0663,-56.88212,0
",1628697686.998084,Wed Aug 11 16:01:26 2021
"1628697687.932575,2,1628697683.984592,55.82837131954811,-4.280173153570269,24.38784,-1,-1,10,65,-9999,1628697687.918169,-0.1538276672363281,-16.20185089111328,-48.01110076904297,136.1689453125,137.923095703125,12.03672122955322,196955.554765,0.003173828125,-0.0404510498046875,-0.9934234619140625,196955.300973,0.004406466148793697,0.00863290298730135,-0.004119910299777985,196955.542885,63.56709289550781,-76.68338012695312,-113.3650665283203,196955.18915325,-0.09892890072925374,0.003119847105446532,0.04082099788197489,-0.001530087552964687,0.001223503146320581,0.002073434181511402,-0.001240409910678864,0.0001754984259605408,0.005250334739685059,2,0.02046120684437645,0.0005485793237125034,-0.0494021236812861,0.9985692453666071,0.003117243060842156,-0.04080966114997864,-0.9991620779037476,0.052703857421875,-16.35254669189453,-48.27455902099609,-1,2,196661.07914325,2,2,1628697393.451568,0,0,0,0,0,0,0,0,0,196952.226925,0,0.6605797,100.7179,1628697687.872065,3232235814,168305893,0,0,5,1628697686.856069,1,0.78,162869",1628697687.931203,Wed Aug 11 16:01:27 2021
"7687.628976,-30.88564,-53.91675,0
",1628697687.938922,Wed Aug 11 16:01:27 2021
"1628697688.936363,3,1628697683.984592,55.82837131954811,-4.280173153570269,24.38784,-1,-1,10,65,-9999,1628697688.923548,-0.04289627075195312,-16.13307952880859,-47.90348815917969,136.1631469726562,137.9172973632812,12.03682041168213,196956.559884375,0.003509521484375,-0.0420074462890625,-0.99615478515625,196956.301068375,0.004757737275213003,0.007332747802138329,-0.003067428944632411,196956.537115375,63.5548095703125,-76.46177673339844,-113.1880340576172,196956.194274,-0.09888090113331149,0.003156359270433,0.04075241466803799,-0.001335352892056108,-0.0001786584034562111,-0.00132192182354629,-7.145572453737259e-05,-0.0002897568047046661,0.005283534526824951,2,0.02042785381735083,0.0005689957371084473,-0.04937787608815242,0.9985710584062473,0.003153733443468809,-0.04074113443493843,-0.9991647601127625,0.09236907958984375,-16.42652130126953,-48.12656402587891,-1,2,196661.07914325,2,2,1628697393.451568,0,0,0,0,0,0,0,0,0,196953.296625,0,0.6473694,100.7181,1628697687.872065,3232235814,168305893,0,0,5,1628697686.856",1628697689.036839,Wed Aug 11 16:01:29 2021
"069,1,0.78,1628697688.624925,-35.72651,-42.22733,0
",1628697689.043443,Wed Aug 11 16:01:29 2021
"1628697689.938409,4,1628697683.984592,55.82837131954811,-4.280173153570269,24.38784,-1,-1,10,65,-9999,1628697689.928521,0.12506103515625,-16.57705688476562,-47.86045074462891,136.1683349609375,137.9224853515625,12.0369291305542,196957.5650065,0.0021514892578125,-0.041015625,-0.9940032958984375,196957.3011625,0.002829874865710735,0.005920473486185074,-0.006696518510580063,196957.5613205,64.10855102539062,-76.84765625,-113.0953979492188,196957.199394375,-0.09895326001776625,0.003392672410618501,0.04079412287953824,0.0001752893440425396,-0.0005818037316203117,-0.001267851796001196,-0.000353342154994607,0.0006216727197170258,0.00457918643951416,2,0.02045453667973196,0.0006852123378772107,-0.04941153258199255,0.9985687914385051,0.0033898432739079,-0.04078280925750732,-0.9991622567176819,-0.0458526611328125,-16.76659393310547,-47.92227935791016,-1,2,196661.07914325,2,2,1628697393.451568,0,0,0,0,0,0,0,0,0,196954.366342,0,0.6156616,100.7185,1628697687.872065,3232235814,168305893,0,0,5,1628697686.856069,1,0.78,1628697",1628697689.937837,Wed Aug 11 16:01:29 2021
"689.617608,-38.28651,-52.40315,0
",1628697689.941341,Wed Aug 11 16:01:29 2021
"1628697690.94349,5,1628697683.984592,55.82837131954811,-4.280173153570269,24.38784,-1,-1,10,65,-9999,1628697690.93346,-0.1422157287597656,-16.5426025390625,-47.71522521972656,136.1835632324219,137.9377136230469,12.0370397567749,196958.570128875,0.0045013427734375,-0.0405120849609375,-0.9947052001953125,196958.301260875,0.003723365487530828,0.009089102037250996,-0.002133990870788693,196958.555518875,63.66389465332031,-77.11857604980469,-113.0407257080078,196958.2045165,-0.09905462250669589,0.003192636159402808,0.04108898015805568,0.0009934694971889257,-0.001144728623330593,0.0007858318276703358,-0.0005349041894078255,-0.0002433881163597107,0.005574822425842285,2,0.02059683909367867,0.0005769990276983218,-0.0494637984617885,0.9985634273922914,0.003189936047419906,-0.04107742011547089,-0.9991508722305298,-0.03705596923828125,-16.28842926025391,-47.63420867919922,-1,2,196661.07914325,2,2,1628697393.451568,0,0,0,0,0,0,0,0,0,196955.436041,0,0.6050911,100.7186,1628697687.872065,3232235814,168305893,0,0,5,1628697686.",1628697690.951601,Wed Aug 11 16:01:30 2021
"856069,1,0.78,1628697690.633453,-30.12645,-43.34777,0
",1628697690.957268,Wed Aug 11 16:01:30 2021
"1628697691.953918,6,1628697683.984592,55.82837131954811,-4.280173153570269,24.38784,-1,-1,10,65,-9999,1628697691.93868,-0.5319747924804688,-16.26946258544922,-47.90798950195312,136.1954345703125,137.9495849609375,12.03714752197266,196959.5752515,0.0028533935546875,-0.04034423828125,-0.993438720703125,196959.3013565,0.00381497829221189,0.004994226153939962,-0.002608033595606685,196959.5495915,63.43441772460938,-76.73844909667969,-113.0138549804688,196959.209639875,-0.09936563513964645,0.003307505388985376,0.04098305153340168,3.621005453169346e-05,-0.0007499372586607933,0.003521205857396126,0.0004184246063232422,0.001146133989095688,0.004907429218292236,2,0.02054689087073606,0.0006337792978488238,-0.04961803946187499,0.9985567630007616,0.003304722020402551,-0.04097158089280128,-0.9991548657417297,0.1262054443359375,-16.34169006347656,-47.95976257324219,-1,2,196661.07914325,2,2,1628697393.451568,0,0,0,0,0,0,0,0,0,196956.505761,0,0.5971642,100.7187,1628697687.872065,3232235814,168305893,0,0,5,1628697686.856069,1,",1628697692.009956,Wed Aug 11 16:01:32 2021
"0.78,1628697691.618747,-38.31856,-53.11289,0
",1628697692.017626,Wed Aug 11 16:01:32 2021
"1628697692.957164,7,1628697683.984592,55.82837131954811,-4.280173153570269,24.38784,-1,-1,10,65,-9999,1628697692.943779,-0.02300262451171875,-16.72261810302734,-47.90111541748047,136.1955718994141,137.9497222900391,12.0372486114502,196960.58037525,0.0032501220703125,-0.04046630859375,-0.994415283203125,196960.30145625,0.004316717851907015,0.006837666034698486,-0.003125752089545131,196960.57387925,64.07431030273438,-76.86756896972656,-113.1781158447266,196960.2147635,-0.09940282381450571,0.003345184100385428,0.04095364100269769,-0.001856521936133504,-0.0006960718892514706,-0.001410734839737415,-0.0003363881260156631,-0.0004243925213813782,0.006007134914398193,2,0.02053315492528645,0.0006529402320438775,-0.04963626209303557,0.998556072465081,0.003342373063787818,-0.04094219580292702,-0.9991559386253357,-0.5115470886230469,-16.46206665039062,-48.0794677734375,-1,2,196661.07914325,2,2,1628697393.451568,0,0,0,0,0,0,0,0,0,196957.575507,0,0.5813103,100.7189,1628697687.872065,3232235814,168305893,0,0,5,1628697686.856",1628697692.965419,Wed Aug 11 16:01:32 2021
"069,1,0.78,1628697692.617622,-29.41557,-43.58932,0
",1628697692.972046,Wed Aug 11 16:01:32 2021
"1628697693.958929,8,1628697683.984592,55.82837131954811,-4.280173153570269,24.38784,-1,-1,10,65,-9999,1628697693.949027,-0.08170318603515625,-16.578125,-47.76705169677734,136.1900177001953,137.9441680908203,12.03736305236816,196961.5855004167,0.0041046142578125,-0.0407562255859375,-0.99346923828125,196961.3015534167,0.001520665013231337,0.008815329521894455,-0.004836300387978554,196961.5680464167,63.67948913574219,-77.11650085449219,-112.9047546386719,196961.21988725,-0.09922883759600885,0.003267379775676582,0.0411369941420837,0.001553727546706796,0.00113782798871398,-0.001710413955152035,-0.0006553540006279945,-0.0001496411859989166,0.005984604358673096,2,0.02062271535870312,0.0006113315459439512,-0.04954995197849937,0.9985585055798253,0.003264609724283218,-0.04112539440393448,-0.9991486668586731,0.08371353149414062,-16.44182586669922,-47.99175262451172,-1,2,196661.07914325,2,2,1628697393.451568,0,0,0,0,0,0,0,0,0,196958.645149,0,0.5760269,100.719,1628697687.872065,3232235814,168305893,0,0,5,1628697686.856069",1628697694.060353,Wed Aug 11 16:01:34 2021
",1,0.78,1628697693.635348,-41.4311,-47.79172,0
",1628697694.068115,Wed Aug 11 16:01:34 2021
"1628697694.964046,9,1628697683.984592,55.82837131954811,-4.280173153570269,24.38784,-1,-1,10,65,-9999,1628697694.953985,0.2038078308105469,-16.57870483398438,-47.3905029296875,136.2063140869141,137.9604644775391,12.03746700286865,196962.5906265,0.0027618408203125,-0.0412139892578125,-0.993988037109375,196962.3016555,0.00466639082878828,0.006245911587029696,-0.003602990647777915,196962.5622815,64.02700805664062,-77.22908020019531,-112.5518188476562,196962.2250134167,-0.09945693891701346,0.003289888628890326,0.04088209820895815,-0.0005497473757714033,0.001732236240059137,-0.001640754053369164,-6.491318345069885e-06,8.396059274673462e-05,0.005308330059051514,2,0.02049608023605664,0.0006265558071181674,-0.04966394415079733,0.9985554587220448,0.003287133760750294,-0.04087071120738983,-0.999159038066864,-0.09335708618164062,-16.29400634765625,-47.75506591796875,-1,2,196661.07914325,2,2,1628697393.451568,0,0,0,0,0,0,0,0,0,196959.714783,0,0.5733833,100.719,1628697687.872065,3232235814,168305893,0,0,5,1628697686.85606",1628697695.090893,Wed Aug 11 16:01:35 2021
"9,1,0.78,1628697694.618691,-44.50321,-54.72224,0
",1628697695.095327,Wed Aug 11 16:01:35 2021
