data,timestamp (ms),timestamp (formatted)
"1628697801.511696,1,1628697792.494864,55.82836070199925,-4.28022428457028,22.57443,-1,-1,10,65,-9999,1628697801.497672,-0.1109657287597656,-15.92864990234375,-48.16210174560547,136.2597198486328,138.0138702392578,12.05353164672852,197069.134342875,0.000946044921875,-0.0431671142578125,-0.9902496337890625,197068.31265075,0.004756405483931303,0.008370847441256046,-0.004309527110308409,197069.106666875,63.53973388671875,-76.30717468261719,-113.5670318603516,197068.768727875,-0.1004826768064704,0.0031281914076283,0.04114090008730478,-0.001302845077589154,0.0002527022734284401,0.0005578217096626759,0.0005670888349413872,-8.470192551612854e-05,0.006488442420959473,2,0.02062155088437647,0.0005288129589693952,-0.05017738393895566,0.9985273303348092,0.003125539282336831,-0.04112929478287697,-0.999148964881897,-0.234100341796875,-16.33191680908203,-47.61026000976562,-1,2,197066.986897375,2,2,1628697799.359322,0,0,0,0,0,0,0,0,0,197065.610723,0,0.613018,100.7185,0,0,0,0,0,5,1628697800.991016,1,0.78,1628697800.617674,-33.",1628697801.574776,Wed Aug 11 16:03:21 2021
"83239,-45.27186,0
",1628697801.580435,Wed Aug 11 16:03:21 2021
"1628697802.516558,2,1628697792.494864,55.82836070199925,-4.28022428457028,22.57443,-1,-1,10,65,-9999,1628697802.502867,-0.2618865966796875,-16.22052001953125,-47.54897308349609,136.2537231445312,138.0078735351562,12.05376148223877,197070.13947275,0.0036773681640625,-0.040283203125,-0.9930267333984375,197069.312754875,0.00598438922315836,0.005485579371452332,-0.002096174051985145,197070.13105975,63.62910461425781,-76.76858520507812,-112.6916351318359,197069.77385775,-0.1004407377822709,0.003366029476964082,0.04120566624791867,-7.947185076773167e-05,-0.0007328749634325504,-0.0008620759472250938,-0.001104861497879028,0.001277007162570953,0.006622314453125,2,0.02065983945835109,0.0006463630172238617,-0.05015390467833458,0.9985276510715965,0.003363166004419327,-0.04119400680065155,-0.9991455078125,-0.09972763061523438,-16.26780700683594,-47.65808868408203,-1,2,197066.986897375,2,2,1628697799.359322,0,0,0,0,0,0,0,0,0,197066.680368,0,0.620945,100.7184,1628697801.992448,3232235814,168305893,0,0,5,1628697800.991016,1,",1628697802.593675,Wed Aug 11 16:03:22 2021
"0.78,1628697801.630286,-32.84508,-54.0357,0
",1628697802.600392,Wed Aug 11 16:03:22 2021
"1628697803.517847,3,1628697792.494864,55.82836070199925,-4.28022428457028,22.57443,-1,-1,10,65,-9999,1628697803.507873,-0.2735748291015625,-16.23422241210938,-47.57038116455078,136.2557525634766,138.0099029541016,12.05394840240479,197071.1446019167,0.002655029296875,-0.04168701171875,-0.9941864013671875,197070.31286075,0.00390259618870914,0.006651777308434248,-0.003435744205489755,197071.1253529167,63.617919921875,-76.92970275878906,-112.5480041503906,197070.7789869167,-0.1005289612625802,0.003220765254412876,0.04133527231444065,0.0002044672146439552,-0.001636584289371967,-3.659864887595177e-05,0.0006882434245198965,-0.0001193732023239136,0.006449639797210693,2,0.02072092892704831,0.0005696693148953668,-0.05019927999188206,0.9985241613495075,0.003218008670955896,-0.04132350161671638,-0.9991406202316284,-0.3607368469238281,-15.99478912353516,-47.88346099853516,-1,2,197066.986897375,2,2,1628697799.359322,0,0,0,0,0,0,0,0,0,197067.749957,0,0.6394424,100.7182,1628697801.992448,3232235814,168305893,0,0,5,1628697800",1628697803.619043,Wed Aug 11 16:03:23 2021
".991016,1,0.78,1628697802.618135,-36.95873,-45.13679,0
",1628697803.625096,Wed Aug 11 16:03:23 2021
"1628697804.523109,4,1628697792.494864,55.82836070199925,-4.28022428457028,22.57443,-1,-1,10,65,-9999,1628697804.512883,0.0731201171875,-16.07842254638672,-47.64527893066406,136.2593536376953,138.0135040283203,12.05406665802002,197072.1497325417,0.0037384033203125,-0.0414581298828125,-0.9942626953125,197071.3129619167,0.002725212834775448,0.003118561580777168,-0.003088201628997922,197072.1497885417,63.7303466796875,-76.97398376464844,-113.2150421142578,197071.7841175417,-0.1004951192328795,0.003211001362655773,0.04115792344023478,-0.001708917785435915,0.00186979491263628,-0.002461896045133471,-4.97056171298027e-05,-0.00112055242061615,0.005282044410705566,2,0.0206321308137494,0.0005696009720813381,-0.05018271894350407,0.998526835822968,0.003208276582881808,-0.04114630445837975,-0.9991480112075806,-0.1627388000488281,-16.17110443115234,-47.31644439697266,-1,2,197071.4899915417,2,2,1628697803.862416,0,0,0,0,0,0,0,0,0,197068.819542,0,0.6447258,100.7181,1628697801.992448,3232235814,168305893,0,0,5,1628697800.99101",1628697804.541509,Wed Aug 11 16:03:24 2021
"6,1,0.78,1628697803.618476,-23.48089,-24.37725,0
",1628697804.544723,Wed Aug 11 16:03:24 2021
"1628697805.532418,5,1628697792.494864,55.82836070199925,-4.28022428457028,22.57443,-1,-1,10,65,-9999,1628697805.518198,-0.1427536010742188,-16.14207458496094,-47.45193481445312,136.2613525390625,138.0155029296875,12.05417633056641,197073.1548615,0.002044677734375,-0.0421142578125,-0.9924163818359375,197072.3130685417,0.003261573379859328,0.006902380846440792,-0.003758785547688603,197073.1440605,63.67662048339844,-76.66864013671875,-112.6059112548828,197072.7892475,-0.1005478586886637,0.003064735129966761,0.04104214427290743,0.0009709005244076252,-0.002988712629303336,-0.0007201172411441803,0.0009966902434825897,0.001083105802536011,0.005088865756988525,2,0.02057067126784617,0.0004989418343279298,-0.05021071057133986,0.9985266611978466,0.00306214950978756,-0.04103062301874161,-0.999153196811676,-0.3500480651855469,-16.11042785644531,-47.95423126220703,-1,2,197071.4899915417,2,2,1628697803.862416,0,0,0,0,0,0,0,0,0,197069.889201,0,0.6526527,100.718,1628697801.992448,3232235814,168305893,0,0,5,1628697800.991016,1",1628697805.532556,Wed Aug 11 16:03:25 2021
",0.78,1628697804.634245,-27.06456,-50.20466,0
",1628697805.537754,Wed Aug 11 16:03:25 2021
"1628697806.536653,6,1628697792.494864,55.82836070199925,-4.28022428457028,22.57443,-1,-1,10,65,-9999,1628697806.523152,-0.2820777893066406,-16.36126708984375,-47.23204803466797,136.2711639404297,138.0253143310547,12.05428981781006,197074.1599939167,0.00311279296875,-0.0397796630859375,-0.9930877685546875,197073.3131705,0.003507383167743683,0.007707986980676651,-0.004112186841666698,197074.1383039167,63.39985656738281,-76.87895202636719,-112.5581359863281,197073.7943799167,-0.1006526813703889,0.003151143576273003,0.0411399488988591,-0.002257681451737881,-0.0009903633035719395,-0.001682718517258763,-0.0004018880426883698,0.0001584887504577637,0.006152689456939697,2,0.02062169693244317,0.0005385432025044644,-0.05026202361858378,0.9985231015607945,0.003148472169414163,-0.04112834483385086,-0.9991489052772522,-0.2365798950195312,-15.86046600341797,-47.44583129882812,-1,2,197071.4899915417,2,2,1628697803.862416,0,0,0,0,0,0,0,0,0,197070.958847,0,0.6579399,100.718,1628697801.992448,3232235814,168305893,0,0,5,16286978",1628697806.593354,Wed Aug 11 16:03:26 2021
"00.991016,1,0.78,1628697805.618096,-28.61969,-52.5455,0
",1628697806.600575,Wed Aug 11 16:03:26 2021
"1628697807.538371,7,1628697792.494864,55.82836070199925,-4.28022428457028,22.57443,-1,-1,10,65,-9999,1628697807.528521,-0.2816123962402344,-16.19741821289062,-47.66049957275391,136.2800750732422,138.0342254638672,12.05439949035645,197075.165121,0.003143310546875,-0.0407562255859375,-0.9934539794921875,197074.3132789167,0.003115898463875055,0.006720220670104027,-0.001795769552700222,197075.162759,63.18119812011719,-76.68244934082031,-113.0498199462891,197074.799506,-0.1008078987043206,0.003035620270357125,0.04099814491885132,-0.0008768613915890455,0.000413636676967144,2.388306893408298e-05,-0.0003017382696270943,-0.0008682087063789368,0.006540358066558838,2,0.02054803429095039,0.0004828403330689093,-0.05034088977168844,0.9985206675437468,0.003033064771443605,-0.04098666086792946,-0.9991551041603088,-0.2668952941894531,-16.23086547851562,-47.58895111083984,-1,2,197071.4899915417,2,2,1628697803.862416,0,0,0,0,0,0,0,0,0,197072.028477,0,0.6605797,100.7179,1628697801.992448,3232235814,168305893,0,0,5,1628697800.991",1628697807.615631,Wed Aug 11 16:03:27 2021
"016,1,0.78,1628697806.618477,-28.70883,-53.42362,0
",1628697807.621615,Wed Aug 11 16:03:27 2021
"1628697808.543546,8,1628697807.552412,55.82836070194362,-4.280224284886361,22.6203,-1,-1,10,65,-9999,1628697808.533719,-0.365325927734375,-16.24163818359375,-47.5445556640625,136.2833099365234,138.0374603271484,12.05452156066895,197076.170249625,0.00347900390625,-0.0422210693359375,-0.9925537109375,197075.313378,-0.0002087918255710974,0.00512685114517808,-0.00253000296652317,197076.157088625,63.49958801269531,-76.71900939941406,-112.7552947998047,197075.804634625,-0.1009234273434224,0.003073471565388327,0.04101258100723689,-0.001088171498849988,-0.0005392725579440594,-0.0008138332050293684,0.001201581209897995,-0.001433614641427994,0.008691132068634033,2,0.020556224182397,0.0005001866823944497,-0.05039816327921637,0.998517557970746,0.003070882288739085,-0.0410010851919651,-0.9991543889045715,-0.2677459716796875,-16.00301361083984,-47.36808013916016,-1,2,197071.4899915417,2,2,1628697803.862416,0,0,0,0,0,0,0,0,0,197073.098085,0,0.6632233,100.7179,1628697801.992448,3232235814,168305893,0,0,5,1628697800.991016,1,",1628697808.644036,Wed Aug 11 16:03:28 2021
"0.78,1628697807.631837,-46.1661,-51.3922,0
",1628697808.650049,Wed Aug 11 16:03:28 2021
