data,timestamp (ms),timestamp (formatted)
"1628697462.781861,1,1628697457.936336,55.82835909424132,-4.280183273954098,23.1335,-1,-1,10,65,-9999,1628697462.771997,-0.3691787719726562,-16.50914001464844,-47.44186401367188,136.2652740478516,138.0194244384766,12.00351619720459,196730.408297875,0.0054168701171875,-0.042633056640625,-0.999725341796875,196730.280146875,0.002650910522788763,0.005992644932121038,-0.002004295121878386,196730.398826875,63.48756408691406,-77.07411193847656,-112.5544891357422,196730.042685875,-0.100685988454307,0.002889024575041755,0.0409371834948016,0.00286464300006628,-0.002899938030168414,-0.001265863887965679,-0.000521484762430191,0.0008409023284912109,0.006009221076965332,2,0.02051388464618243,0.0004124375564275584,-0.05028160835792961,0.9985243431438604,0.002886600093916059,-0.04092574864625931,-0.9991580247879028,-0.3346099853515625,-16.58549499511719,-47.98295593261719,-1,2,196661.07914325,2,2,1628697393.451568,0,0,0,0,0,0,0,0,0,196727.609986,0,1.952675,100.7025,0,0,0,0,0,5,1628697462.123422,1,0.79,1628697462.631849,-31.80",1628697462.796854,Wed Aug 11 15:57:42 2021
"949,-52.68625,0
",1628697462.807398,Wed Aug 11 15:57:42 2021
"1628697463.786868,2,1628697457.936336,55.82835909424132,-4.280183273954098,23.1335,-1,-1,10,65,-9999,1628697463.777189,-0.53900146484375,-16.80333709716797,-47.55709075927734,136.2691345214844,138.0232849121094,12.00363540649414,196731.4134196667,0.003509521484375,-0.03955078125,-0.9931488037109375,196731.2802416667,0.002953978255391121,0.008041414432227612,-0.00293320557102561,196731.3930336667,63.09805297851562,-77.0882568359375,-112.5587463378906,196731.0478076667,-0.1005720067968844,0.003300759740319982,0.04103782715295088,-0.001030155690386891,0.0002537127584218979,0.0006460819859057665,0.001386476447805762,0.00175018236041069,0.006049633026123047,2,0.02057444856864831,0.0006166403769864688,-0.05022034440188811,0.9985260385851679,0.003297974821180105,-0.04102630913257599,-0.9991526007652283,-0.1440620422363281,-16.58329010009766,-48.22544860839844,-1,2,196661.07914325,2,2,1628697393.451568,0,0,0,0,0,0,0,0,0,196727.609986,0,1.952675,100.7025,1628697463.123718,3232235814,168305893,0,0,5,1628697462.123422,1",1628697463.832857,Wed Aug 11 15:57:43 2021
",0.79,1628697463.619017,-46.65738,-55.46266,0
",1628697463.838453,Wed Aug 11 15:57:43 2021
"1628697464.792397,3,1628697457.936336,55.82835909424132,-4.280183273954098,23.1335,-1,-1,10,65,-9999,1628697464.78231,-0.1479568481445312,-16.76399993896484,-48.11397552490234,136.2678070068359,138.0219573974609,12.00373554229736,196732.41854025,0.00311279296875,-0.0412139892578125,-0.9930877685546875,196732.28033925,0.005863748025149107,0.008198008872568607,-0.002980876248329878,196732.41737025,63.66709899902344,-77.28057861328125,-113.2713470458984,196732.05292925,-0.100673603537576,0.003320585720764755,0.04115596603461864,0.001310870982706547,0.0002306075766682625,0.0007127653807401657,-0.0002507492899894714,-0.0005579292774200439,0.006716072559356689,2,0.02063395958378105,0.00062252013115029,-0.05027070342560258,0.998522302007208,0.003317767754197121,-0.04114434868097305,-0.9991477131843567,-0.3356399536132812,-16.46170043945312,-47.97470855712891,-1,2,196661.07914325,2,2,1628697393.451568,0,0,0,0,0,0,0,0,0,196728.679504,0,1.950035,100.7025,1628697463.123718,3232235814,168305893,0,0,5,1628697462.123422,1,",1628697464.860142,Wed Aug 11 15:57:44 2021
"0.79,1628697464.619064,-47.36257,-54.76723,0
",1628697464.863151,Wed Aug 11 15:57:44 2021
"1628697465.810576,4,1628697457.936336,55.82835909424132,-4.280183273954098,23.1335,-1,-1,10,65,-9999,1628697465.807381,-0.4947891235351562,-16.61343383789062,-48.02532196044922,136.2791137695312,138.0332641601562,12.0037899017334,196733.4236627917,0.00439453125,-0.041900634765625,-0.9927825927734375,196733.2804337917,0.002697249641641974,0.008852614089846611,-0.004152667243033648,196733.4116097917,63.15321350097656,-77.14334106445312,-113.0886840820312,196733.0580507917,-0.100766539478114,0.003299895700915606,0.04110387973201882,-0.001296045491471887,-0.001374949235469103,-0.0003112312406301498,0.0008990680798888206,0.0004886612296104431,0.007801651954650879,2,0.02060746416988314,0.0006125437494469543,-0.05031738778485617,0.9985204683016555,0.003297102404758334,-0.04109230637550354,-0.9991499185562134,-0.1220970153808594,-16.59839630126953,-48.16706848144531,-1,2,196661.07914325,2,2,1628697393.451568,0,0,0,0,0,0,0,0,0,196729.749019,0,1.944748,100.7026,1628697463.123718,3232235814,168305893,0,0,5,1628697462.12",1628697465.79601,Wed Aug 11 15:57:45 2021
"3422,1,0.79,1628697465.633084,-36.66608,-51.65921,0
",1628697465.804869,Wed Aug 11 15:57:45 2021
"1628697493.952423,1,1628697488.106771,55.8283612257211,-4.280181509483969,23.2581,-1,-1,10,65,-9999,1628697493.950703,-0.2030906677246094,-16.7347412109375,-48.10794830322266,136.2460174560547,138.0001678466797,12.00647640228271,196761.566969375,0.0033721923828125,-0.0403594970703125,-0.9927520751953125,196761.283024375,0.00290843821130693,0.007137537933886051,-0.001785116852261126,196761.550054375,63.34596252441406,-76.87321472167969,-113.351318359375,196761.201359375,-0.1003236779137121,0.002865005750268027,0.04104646152134281,-0.00124633009545505,0.001586019061505795,-0.001673726597800851,-0.0001617800444364548,-0.0002553537487983704,0.006096363067626953,2,0.02056776543490049,0.0004014213749113258,-0.05010082884479383,0.998532382648702,0.002862588735297322,-0.04103493690490723,-0.9991536140441895,0.05968093872070312,-16.52297973632812,-48.12200164794922,-1,2,196661.07914325,2,2,1628697393.451568,0,0,0,0,0,0,0,0,0,196758.627063,0,1.860195,100.7036,0,0,0,0,0,5,1628697493.181261,1,0.78,1628697493.618889,-16.9",1628697493.935723,Wed Aug 11 15:58:13 2021
"8946,-31.77909,0
",1628697493.941343,Wed Aug 11 15:58:13 2021
