data,timestamp (ms),timestamp (formatted)
"1628698040.730431,1,1628698035.103246,55.82835799839299,-4.280231355920764,22.26365,-1,-1,10,65,-9999,1628698040.72062,-0.29901123046875,-15.91866302490234,-48.21488952636719,136.4128723144531,138.1670227050781,12.08748912811279,197308.35762375,0.005096435546875,-0.0400543212890625,-1.005035400390625,197308.34003675,0.005320463329553604,0.007351389620453119,-0.002378735458478332,197308.35673775,63.51705932617188,-76.54258728027344,-113.7656860351562,197307.99201075,-0.1031985438104002,0.002473273281089685,0.04080518902435034,0.002602796303108335,-0.002586883492767811,-0.00115298037417233,0.0005958070978522301,0.0002512522041797638,0.00590890645980835,2,0.02043777888447301,0.0001825152456642002,-0.051540409716124,0.9984617249106086,0.00247121206484735,-0.04079386591911316,-0.9991645216941833,-0.2078514099121094,-15.8394775390625,-48.2801513671875,-1,2,197071.4899915417,2,2,1628697803.862416,0,0,0,0,0,0,0,0,0,197305.214111,0,0.3646431,100.7215,0,0,0,0,0,5,1628698040.056763,1,0.77,1628698040.618315,-38.25846,-55",1628698040.725903,Wed Aug 11 16:07:20 2021
".15847,0
",1628698040.732918,Wed Aug 11 16:07:20 2021
"1628698041.747229,2,1628698035.103246,55.82835799839299,-4.280231355920764,22.26365,-1,-1,10,65,-9999,1628698041.74587,-0.6060409545898438,-16.06254577636719,-48.19761657714844,136.4088745117188,138.1630249023438,12.0876293182373,197309.362748625,0.002044677734375,-0.0414886474609375,-0.9925994873046875,197309.340133625,0.003268497530370951,0.006685866042971611,-0.002198705682530999,197309.350827625,63.47836303710938,-76.88581848144531,-113.8487396240234,197308.997135625,-0.1031250404262686,0.002939747460022056,0.04101819506504668,0.001947636716067791,-3.290828317403793e-06,0.0004976792261004448,-0.00038905069231987,-0.001702666282653809,0.006265163421630859,2,0.02055612052133492,0.0004106541584483221,-0.05149867122377166,0.9984615079467019,0.002937270561233163,-0.04100669547915459,-0.9991545677185059,-0.1987800598144531,-16.19121551513672,-48.28493499755859,-1,2,197071.4899915417,2,2,1628697803.862416,0,0,0,0,0,0,0,0,0,197306.283889,0,0.3619995,100.7215,1628698041.057517,3232235814,168305893,0,0,5,1628698040",1628698041.776818,Wed Aug 11 16:07:21 2021
".056763,1,0.77,1628698041.629655,-47.71371,-55.85733,0
",1628698041.779724,Wed Aug 11 16:07:21 2021
"1628698042.741125,3,1628698035.103246,55.82835799839299,-4.280231355920764,22.26365,-1,-1,10,65,-9999,1628698042.730856,-0.22869873046875,-16.01387023925781,-48.06879425048828,136.4128570556641,138.1670074462891,12.0877571105957,197310.367873125,0.0029296875,-0.0422821044921875,-0.99261474609375,197310.340234125,0.002742256969213486,0.005249623209238052,-0.00293320557102561,197310.344937125,63.46453857421875,-76.55842590332031,-113.4534912109375,197310.002260125,-0.10307216951838,0.002802087684765715,0.04104166618043607,0.002448610728606582,0.0002875905483961105,0.0003164268564432859,-0.0004651269409805536,0.0009910799562931061,0.005364358425140381,2,0.02056428449959213,0.000341868729103122,-0.05147366295873451,0.998462643660474,0.002799724461510777,-0.0410301461815834,-0.9991539716720581,-0.2265281677246094,-16.203125,-48.15190887451172,-1,2,197071.4899915417,2,2,1628697803.862416,0,0,0,0,0,0,0,0,0,197307.353628,0,0.3619995,100.7215,1628698041.057517,3232235814,168305893,0,0,5,1628698040.056763,1,0.77,162869",1628698042.83436,Wed Aug 11 16:07:22 2021
"8042.618296,-44.91453,-49.22628,0
",1628698042.839453,Wed Aug 11 16:07:22 2021
"1628698043.746071,4,1628698035.103246,55.82835799839299,-4.280231355920764,22.26365,-1,-1,10,65,-9999,1628698043.735972,-0.325286865234375,-16.16587829589844,-48.39112091064453,136.4202575683594,138.1744079589844,12.08787536621094,197311.37299875,0.002044677734375,-0.0394744873046875,-0.99359130859375,197311.34033375,0.003702326444908977,0.006344448775053024,-0.002348375506699085,197311.36921575,63.41000366210938,-76.89582824707031,-113.1793212890625,197311.00738575,-0.1032260356811075,0.002741684544675411,0.04090154903566222,-0.003970742225646973,-0.001415702980011702,-0.001213091658428311,0.001945061376318336,0.00101892277598381,0.004683613777160645,2,0.02049280622037896,0.0003137469246620936,-0.05155127561301204,0.9984599808833501,0.002739388030022383,-0.04089014604687691,-0.9991598725318909,-0.3911705017089844,-15.95075225830078,-48.35324859619141,-1,2,197071.4899915417,2,2,1628697803.862416,0,0,0,0,0,0,0,0,0,197308.423365,0,0.3884239,100.7212,1628698041.057517,3232235814,168305893,0,0,5,1628698040.056763",1628698043.748391,Wed Aug 11 16:07:23 2021
",1,0.77,1628698043.617904,-36.74915,-49.34927,0
",1628698043.752686,Wed Aug 11 16:07:23 2021
"1628698044.751606,5,1628698035.103246,55.82835799839299,-4.280231355920764,22.26365,-1,-1,10,65,-9999,1628698044.74106,-0.355682373046875,-15.97467803955078,-48.22630310058594,136.4278717041016,138.1820220947266,12.08799266815186,197312.378126125,0.0027008056640625,-0.04290771484375,-0.9929351806640625,197312.340436125,0.003784351982176304,0.007371363695710897,-0.001255680457688868,197312.363362125,63.45518493652344,-76.41011047363281,-113.6317901611328,197312.012512125,-0.1034355295168925,0.002810423185334112,0.04077712357898779,0.0003842280711978674,-0.001448539085686207,0.001504497253336012,-0.0003056405112147331,-0.0008143819868564606,0.005512416362762451,2,0.02043249778529133,0.0003491337600241553,-0.05165530926770318,0.9984558336857282,0.002808083314448595,-0.04076582565903664,-0.9991647601127625,-0.7449378967285156,-15.92357635498047,-48.22347259521484,-1,2,197071.4899915417,2,2,1628697803.862416,0,0,0,0,0,0,0,0,0,197309.493043,0,0.3963509,100.7211,1628698041.057517,3232235814,168305893,0,0,5,162869804",1628698044.783186,Wed Aug 11 16:07:24 2021
"0.056763,1,0.77,1628698044.631853,-29.37936,-50.55747,0
",1628698044.79241,Wed Aug 11 16:07:24 2021
"1628698045.771362,6,1628698035.103246,55.82835799839299,-4.280231355920764,22.26365,-1,-1,10,65,-9999,1628698045.766633,0.06276321411132812,-16.10823822021484,-48.27187347412109,136.4295959472656,138.1837463378906,12.08812999725342,197313.383253125,0.002899169921875,-0.04071044921875,-0.9925384521484375,197313.340536125,0.001330249011516571,0.007031810469925404,-0.002041046740487218,197313.357546125,63.841796875,-76.6142578125,-113.0410614013672,197313.017639125,-0.1035146242772171,0.002941575539405951,0.04092262215754928,-0.000108382198959589,0.0001105521805584431,0.001059228088706732,-0.0004366657231003046,-0.0008063353598117828,0.005704522132873535,2,0.02050853663542102,0.000410035587724969,-0.05169326841826294,0.9984523538028975,0.002939108526334167,-0.04091120138764381,-0.9991584420204163,0.1674346923828125,-15.81090545654297,-48.02587890625,-1,2,197071.4899915417,2,2,1628697803.862416,0,0,0,0,0,0,0,0,0,197310.562735,0,0.4095612,100.7209,1628698041.057517,3232235814,168305893,0,0,5,1628698040.056763,1,0.",1628698045.807921,Wed Aug 11 16:07:25 2021
"77,1628698045.618296,-41.53547,-51.30538,0
",1628698045.815131,Wed Aug 11 16:07:25 2021
